purpose,int_rate,installment,log_annual_inc,fico,revol_bal,delinq_2yrs,pub_rec,not_fully_paid
debt_consolidation,0.065,612.62,5.0,764,10352,0.0,0,1
debt_consolidation,0.082,814.7,5.0,789,11467,0.0,0,1
debt_consolidation,0.152,166.96,4.698970004336019,674,3485,0.0,0,1
debt_consolidation,0.161,273.08,4.812913356642856,694,8310,1.0,0,1
other,0.088,114.17,4.653212513775344,674,1905,0.0,1,1
credit_card,0.17,231.59,4.681241237375588,684,13544,0.0,0,1
credit_card,0.131,348.75,5.243038048686294,674,35147,0.0,0,1
debt_consolidation,0.082,501.22,4.53655844257153,779,3934,0.0,0,1
credit_card,0.206,224.67,4.544068044350276,679,6355,1.0,0,1
credit_card,0.088,443.96,5.008600171761918,694,26249,1.0,0,1
debt_consolidation,0.17,855.07,5.079181246047625,694,19681,6.0,0,1
debt_consolidation,0.11,313.24,4.645422269349092,749,13183,0.0,0,1
debt_consolidation,0.076,560.41,4.778151250383644,744,24289,0.0,0,1
debt_consolidation,0.076,112.09,4.819543935541868,739,1969,0.0,0,1
debt_consolidation,0.11,261.03,4.822291547957326,694,4347,0.0,0,1
other,0.206,758.47,5.060697840353612,694,20502,0.0,1,1
home_improvement,0.07,1023.88,4.778151250383644,724,0,0.0,0,1
debt_consolidation,0.082,782.11,5.271841606536499,714,126805,0.0,0,1
debt_consolidation,0.131,341.92,4.531478917042255,749,8672,0.0,0,1
debt_consolidation,0.076,161.9,4.894869656745253,739,2559,0.0,0,1
debt_consolidation,0.206,374.45,5.021189299069938,684,6232,0.0,0,1
debt_consolidation,0.082,219.97,4.748188027006201,689,8925,0.0,0,1
credit_card,0.07,772.16,5.277838333002047,734,17371,0.0,0,1
home_improvement,0.206,615.75,5.004321373782642,679,16440,0.0,0,1
debt_consolidation,0.152,486.97,4.977723605288848,694,7706,0.0,0,1
debt_consolidation,0.11,652.58,5.359835482339888,729,44738,0.0,0,1
small_business,0.257,816.13,5.3979400086720375,684,21018,0.0,0,1
debt_consolidation,0.152,430.49,4.778151250383644,719,4570,0.0,1,1
major_purchase,0.257,693.81,4.847381379397898,694,16391,0.0,1,1
debt_consolidation,0.131,484.95,4.698970004336019,684,15613,0.0,0,1
debt_consolidation,0.131,911.77,5.0,719,30406,0.0,0,1
debt_consolidation,0.076,467.01,4.681241237375588,724,16305,1.0,0,1
debt_consolidation,0.143,585.61,4.963787827345556,694,23858,1.0,0,1
debt_consolidation,0.088,114.17,4.6127838567197355,704,30904,0.0,0,1
home_improvement,0.07,325.08,5.230448921378274,749,45,0.0,0,1
home_improvement,0.143,205.95,5.0,699,173450,0.0,0,1
credit_card,0.088,1213.76,5.117271295655764,669,43744,0.0,1,1
credit_card,0.076,688.06,4.857332496431268,784,7294,0.0,0,1
debt_consolidation,0.206,294.81,4.826074802700826,679,5866,1.0,1,1
major_purchase,0.088,190.27,5.100476348423751,694,1684,0.0,1,1
debt_consolidation,0.177,720.45,4.6020599913279625,674,26759,0.0,0,1
other,0.082,407.35,5.113943352306837,764,17364,0.0,0,1
debt_consolidation,0.103,342.56,4.963787827345556,744,50387,0.0,0,1
debt_consolidation,0.076,340.14,4.812913356642856,739,5986,0.0,0,1
home_improvement,0.088,856.21,4.8512583487190755,694,20776,0.0,0,1
debt_consolidation,0.117,264.61,4.698970004336019,734,6570,0.0,0,1
debt_consolidation,0.082,333.89,4.531478917042255,754,7693,0.0,0,1
credit_card,0.076,108.97,4.8750612633917,774,8506,0.0,0,1
debt_consolidation,0.131,341.92,4.8512583487190755,724,7051,0.0,0,1
debt_consolidation,0.131,245.04,4.8750612633917,709,20741,0.0,0,1
debt_consolidation,0.17,464.25,4.845841907421757,679,42577,0.0,0,1
credit_card,0.161,126.78,4.477121254719663,669,7898,0.0,1,1
debt_consolidation,0.131,273.53,4.903089986991944,694,17032,0.0,0,1
credit_card,0.186,154.4,4.778151250383644,679,5903,1.0,0,1
debt_consolidation,0.088,475.68,4.892094602690481,689,15043,3.0,0,1
debt_consolidation,0.231,426.1,4.959041392321094,669,8542,3.0,0,1
debt_consolidation,0.11,282.79,5.021189299069938,729,29455,0.0,0,1
debt_consolidation,0.103,178.33,4.835690571492425,694,4637,1.0,0,1
debt_consolidation,0.076,467.01,5.176091259055681,734,7181,0.0,0,1
debt_consolidation,0.076,809.48,5.505149978319906,719,14396,3.0,0,1
debt_consolidation,0.11,870.1,4.698970004336019,749,15554,0.0,0,1
debt_consolidation,0.131,364.71,5.0,734,23128,0.0,0,1
credit_card,0.065,1225.24,5.352182518111363,709,75449,0.0,0,1
debt_consolidation,0.161,352.17,4.371067862271736,679,11968,0.0,0,1
credit_card,0.076,327.69,4.832508912706237,739,21818,0.0,0,1
debt_consolidation,0.124,212.97,5.113943352306837,699,32124,0.0,0,1
debt_consolidation,0.131,227.95,4.441465755023658,674,3520,0.0,1,1
debt_consolidation,0.143,281.09,5.0,674,8064,0.0,0,1
debt_consolidation,0.065,320.1,5.342422680822207,739,23471,1.0,0,1
credit_card,0.082,244.41,5.023968146763306,729,5521,0.0,1,1
credit_card,0.076,851.51,4.963787827345556,724,43517,0.0,0,1
credit_card,0.103,324.23,5.079181246047625,679,23658,1.0,0,1
debt_consolidation,0.076,261.53,4.829413136929344,724,30562,0.0,0,1
debt_consolidation,0.088,1078.98,5.199755177253475,699,87933,0.0,0,1
debt_consolidation,0.177,900.56,5.060697840353612,664,14087,0.0,0,1
credit_card,0.186,291.72,4.623249290397901,669,10035,0.0,0,1
credit_card,0.088,785.32,5.02530586526477,664,38106,1.0,0,1
debt_consolidation,0.143,323.84,4.944482672150168,704,16579,0.0,1,1
debt_consolidation,0.231,474.09,4.732393759822968,674,23652,0.0,0,1
credit_card,0.206,374.45,4.743109778811759,689,10148,0.0,0,1
debt_consolidation,0.131,698.64,4.977723605288848,719,11464,0.0,0,1
credit_card,0.186,510.5,4.7160033436347994,689,13236,0.0,0,1
credit_card,0.131,296.33,4.698970004336019,714,17769,0.0,0,1
debt_consolidation,0.177,724.74,5.477121254719663,694,11486,0.0,0,1
credit_card,0.07,197.68,4.968482948553935,694,5845,1.0,0,1
credit_card,0.161,975.28,5.176091259055681,684,27822,0.0,0,1
debt_consolidation,0.11,1047.95,4.954242509439325,729,14140,0.0,0,1
debt_consolidation,0.131,797.8,5.301029995663981,704,64879,0.0,0,1
car,0.131,444.49,4.929418925714293,694,31385,0.0,0,1
credit_card,0.076,653.81,5.079181246047625,739,44661,0.0,0,1
credit_card,0.103,616.07,4.724275869600789,784,8832,0.0,0,1
debt_consolidation,0.143,583.5,5.3979400086720375,684,20291,0.0,0,1
credit_card,0.065,137.84,4.556302500767287,739,2775,0.0,0,1
debt_consolidation,0.082,319.77,4.968482948553935,819,3639,0.0,0,1
debt_consolidation,0.131,808.74,5.556302500767287,694,56645,0.0,0,1
credit_card,0.065,612.62,5.264817823009537,724,43923,0.0,0,1
debt_consolidation,0.152,76.53,4.724275869600789,704,5963,0.0,0,1
debt_consolidation,0.082,188.55,4.812913356642856,709,12069,0.0,0,1
debt_consolidation,0.11,870.1,4.812913356642856,749,31197,0.0,0,1
credit_card,0.07,1235.45,5.278753600952829,729,43133,0.0,0,1
debt_consolidation,0.124,477.57,4.795184589682424,669,9786,2.0,0,1
debt_consolidation,0.065,464.06,5.195899652409234,764,19433,0.0,0,1
other,0.131,178.79,4.698970004336019,669,3094,0.0,0,1
debt_consolidation,0.11,417.54,4.763427993562937,664,13746,3.0,0,1
debt_consolidation,0.131,729.41,4.653212513775344,769,4385,0.0,0,1
home_improvement,0.177,432.27,4.689131197234498,679,22131,0.0,0,1
debt_consolidation,0.206,938.03,4.977723605288848,689,35460,0.0,0,1
debt_consolidation,0.231,697.25,4.518513939877887,719,17813,0.0,0,1
credit_card,0.065,480.91,5.155336037465061,784,21444,0.0,0,1
debt_consolidation,0.088,426.52,4.812913356642856,714,26604,0.0,0,1
debt_consolidation,0.152,313.05,5.033423755486949,704,6515,0.0,0,1
credit_card,0.11,693.91,4.8750612633917,739,20992,0.0,0,1
credit_card,0.088,1205.04,5.008600171761918,699,39576,0.0,0,1
credit_card,0.17,474.8,4.544068044350276,719,11771,0.0,0,1
debt_consolidation,0.143,240.27,4.740362689494244,709,9838,0.0,0,1
home_improvement,0.186,699.91,4.954242509439325,704,23875,0.0,0,1
debt_consolidation,0.17,890.7,5.139879086401237,684,25086,0.0,0,1
credit_card,0.143,1194.46,5.447158031342219,689,86630,0.0,0,1
credit_card,0.161,292.59,4.812913356642856,704,19793,1.0,0,1
credit_card,0.206,168.5,4.7160033436347994,719,4178,0.0,0,1
debt_consolidation,0.161,580.9,4.740362689494244,744,424,0.0,0,1
credit_card,0.088,336.94,5.0,684,16383,0.0,0,1
credit_card,0.082,224.05,4.556302500767287,719,10647,0.0,0,1
debt_consolidation,0.124,1102.39,4.729974285699556,699,21834,0.0,0,1
debt_consolidation,0.065,324.69,5.113943352306837,824,4496,0.0,0,1
debt_consolidation,0.076,933.24,4.829303772831025,794,24563,0.0,0,1
debt_consolidation,0.161,63.39,4.204119982655925,694,5709,0.0,0,1
debt_consolidation,0.206,795.7,5.117271295655764,709,18941,0.0,0,1
debt_consolidation,0.065,765.77,5.033423755486949,779,9974,0.0,0,1
debt_consolidation,0.103,486.34,4.812913356642856,679,21981,1.0,0,1
debt_consolidation,0.076,801.7,5.518513939877887,724,44819,0.0,0,1
debt_consolidation,0.076,498.15,4.799340549453582,704,21246,0.0,0,1
home_improvement,0.161,290.15,4.857332496431268,684,17676,3.0,0,1
debt_consolidation,0.231,987.68,4.929418925714293,704,33328,0.0,0,1
debt_consolidation,0.117,530.36,4.477121254719663,749,11971,0.0,0,1
credit_card,0.065,471.72,4.8750612633917,734,18027,0.0,0,1
credit_card,0.088,215.64,4.477121254719663,719,7717,0.0,0,1
debt_consolidation,0.131,400.04,4.845098040014257,699,26142,0.0,0,1
credit_card,0.131,657.79,4.748188027006201,689,12968,0.0,0,1
credit_card,0.065,1225.24,5.278753600952829,694,46248,0.0,0,1
debt_consolidation,0.143,871.97,4.892094602690481,759,3990,0.0,0,1
debt_consolidation,0.131,797.8,5.041392685158225,674,26246,1.0,0,1
debt_consolidation,0.082,305.52,4.5733358400660675,734,12631,0.0,0,1
debt_consolidation,0.088,285.41,4.574031267727719,689,6581,0.0,0,1
debt_consolidation,0.065,192.21,4.913813852383717,749,14846,0.0,0,1
debt_consolidation,0.088,454.66,4.903089986991944,689,24845,0.0,0,1
home_improvement,0.065,1202.26,5.599685521367862,749,72771,0.0,0,1
credit_card,0.076,327.69,4.623249290397901,739,8154,0.0,0,1
debt_consolidation,0.103,243.17,5.049218022670182,684,5443,0.0,0,1
debt_consolidation,0.088,1268.46,5.201397124320452,714,16121,0.0,0,1
debt_consolidation,0.186,232.46,4.942008053022313,674,13352,1.0,0,1
credit_card,0.206,238.71,4.977723605288848,674,30202,0.0,0,1
debt_consolidation,0.11,323.57,4.593030400614874,729,3813,0.0,0,1
debt_consolidation,0.082,627.7,4.819543935541868,729,38130,0.0,0,1
debt_consolidation,0.288,948.61,5.176091259055681,684,30681,1.0,1,1
debt_consolidation,0.17,460.52,4.886490725172482,714,7467,2.0,0,1
home_improvement,0.076,700.52,4.57978359661681,739,13044,0.0,1,1
credit_card,0.288,668.76,4.99563519459755,684,43531,0.0,0,1
debt_consolidation,0.124,141.42,4.505149978319906,779,3302,0.0,0,1
medical,0.161,299.34,4.616370472291269,709,2592,3.0,0,1
debt_consolidation,0.131,364.71,5.3979400086720375,799,7089,0.0,0,1
debt_consolidation,0.124,472.52,5.060697840353612,809,4597,0.0,0,1
debt_consolidation,0.076,484.91,5.3222192947339195,794,1720,0.0,0,1
debt_consolidation,0.124,212.97,4.544068044350276,674,1666,0.0,0,1
small_business,0.161,352.17,5.146128035678238,714,13573,1.0,0,1
debt_consolidation,0.088,329.8,4.653212513775344,709,8142,0.0,0,1
debt_consolidation,0.082,351.34,5.162397108203622,764,25621,0.0,0,1
credit_card,0.082,468.46,5.096910013008056,704,23436,0.0,0,1
debt_consolidation,0.088,348.83,5.113943352306837,669,9848,1.0,1,1
debt_consolidation,0.076,323.8,4.903089986991944,739,16570,0.0,0,1
debt_consolidation,0.131,719.73,5.3979400086720375,704,62443,0.0,0,1
debt_consolidation,0.288,807.11,4.845098040014257,664,5654,0.0,1,1
home_improvement,0.11,654.21,4.886490725172482,824,236,0.0,0,1
other,0.11,229.24,4.544068044350276,779,6790,0.0,0,1
debt_consolidation,0.065,320.1,4.986771734266245,734,12684,0.0,1,1
credit_card,0.065,214.42,4.954242509439325,769,8517,0.0,0,1
debt_consolidation,0.082,164.2,4.951823035315912,789,4469,0.0,0,1
major_purchase,0.11,346.96,4.763427993562937,734,941,0.0,0,1
credit_card,0.206,269.6,5.0,679,3068,0.0,0,1
debt_consolidation,0.11,785.96,5.477121254719663,719,28119,0.0,0,1
credit_card,0.131,505.99,4.903089986991944,674,11063,0.0,0,1
debt_consolidation,0.082,814.7,5.075546961392531,714,32789,0.0,0,1
debt_consolidation,0.088,443.96,4.556302500767287,749,3113,0.0,0,1
home_improvement,0.082,814.7,4.6020599913279625,744,25084,0.0,0,1
other,0.257,1283.35,5.698970004336019,669,90048,0.0,0,1
debt_consolidation,0.088,842.73,5.041392685158225,704,53146,0.0,0,1
debt_consolidation,0.152,254.11,4.643452676486188,699,24074,0.0,0,1
debt_consolidation,0.124,298.15,4.903089986991944,679,4383,0.0,0,1
debt_consolidation,0.088,336.94,5.041392685158225,699,3999,1.0,0,1
debt_consolidation,0.257,1042.72,5.096910013008056,704,51890,0.0,0,1
credit_card,0.065,704.51,4.812913356642856,709,18317,0.0,0,1
home_improvement,0.07,148.26,4.586381247195874,814,1830,0.0,0,1
other,0.152,597.91,5.02530586526477,779,23886,0.0,0,1
credit_card,0.082,570.29,5.243038048686294,704,26363,1.0,0,1
debt_consolidation,0.088,809.44,5.161368002234975,719,19757,1.0,0,1
credit_card,0.088,516.66,5.02530586526477,719,18094,0.0,0,0
credit_card,0.076,298.89,4.561101383649056,709,7961,0.0,0,1
debt_consolidation,0.065,1176.23,5.079181246047625,729,86993,0.0,0,1
debt_consolidation,0.076,622.68,4.681241237375588,804,6397,0.0,0,1
credit_card,0.076,233.51,4.6020599913279625,779,7495,0.0,0,1
credit_card,0.07,154.44,4.8750612633917,749,9004,0.0,0,1
debt_consolidation,0.082,324.87,5.113943352306837,734,38987,0.0,0,1
house,0.231,282.2,4.973127853599698,719,10705,0.0,0,1
credit_card,0.124,448.95,5.096910013008056,674,20268,0.0,0,1
debt_consolidation,0.11,589.47,4.643452676486188,734,19274,0.0,0,1
debt_consolidation,0.088,199.79,4.7160033436347994,739,12761,0.0,0,1
debt_consolidation,0.065,224.38,4.556302500767287,794,3986,0.0,0,1
debt_consolidation,0.11,228.95,4.653212513775344,764,4929,0.0,0,1
debt_consolidation,0.082,407.35,5.225309281725863,729,20240,0.0,1,1
debt_consolidation,0.103,1158.29,5.079181246047625,669,11475,0.0,0,1
debt_consolidation,0.076,451.44,5.222716471147583,734,2877,0.0,0,1
debt_consolidation,0.103,308.31,4.556302500767287,739,2142,0.0,0,1
debt_consolidation,0.161,299.34,4.863322860120456,664,4623,0.0,0,1
debt_consolidation,0.131,145.32,4.8512583487190755,664,5528,0.0,1,1
major_purchase,0.082,563.16,4.6020599913279625,784,3328,0.0,0,1
major_purchase,0.076,196.15,4.438067450453494,769,3235,0.0,0,1
debt_consolidation,0.177,756.47,5.060697840353612,704,22516,0.0,0,1
credit_card,0.065,480.91,5.0,724,12108,1.0,0,1
major_purchase,0.124,859.17,4.799340549453582,754,4081,0.0,1,1
debt_consolidation,0.186,233.38,4.845098040014257,689,5785,0.0,0,1
debt_consolidation,0.088,1023.49,5.380211241711606,714,186899,0.0,0,1
credit_card,0.088,168.08,4.724275869600789,719,5663,0.0,0,1
credit_card,0.065,1225.24,5.546542663478131,724,29084,0.0,0,1
debt_consolidation,0.143,121.0,4.991226075692495,694,22135,0.0,0,1
credit_card,0.103,813.58,4.9003671286564705,699,25520,0.0,0,1
debt_consolidation,0.131,683.83,4.57978359661681,689,25150,0.0,0,1
credit_card,0.088,159.35,5.152288344383057,689,41019,0.0,0,1
debt_consolidation,0.206,450.26,4.8750612633917,674,15959,1.0,0,1
major_purchase,0.206,938.03,4.638489256954637,724,6904,0.0,0,1
credit_card,0.088,451.89,4.7160033436347994,694,26235,0.0,0,1
debt_consolidation,0.152,250.44,4.477121254719663,694,7201,2.0,0,1
debt_consolidation,0.124,572.97,4.939519252618618,779,2336,0.0,0,1
debt_consolidation,0.11,407.72,5.113943352306837,724,14721,1.0,0,1
debt_consolidation,0.088,533.55,4.869231719730976,704,3234,0.0,0,1
debt_consolidation,0.076,155.67,4.8750612633917,769,7870,0.0,0,1
debt_consolidation,0.088,348.83,5.0,694,16881,0.0,0,1
debt_consolidation,0.231,493.89,4.5910646070264995,664,6694,1.0,0,1
credit_card,0.152,478.33,4.845098040014257,674,13216,2.0,0,1
credit_card,0.082,377.09,5.146128035678238,739,32656,0.0,0,1
debt_consolidation,0.11,785.96,4.929418925714293,694,31150,0.0,0,1
debt_consolidation,0.131,341.92,4.342422680822207,709,10927,0.0,0,1
debt_consolidation,0.288,626.96,5.431363764158987,664,25724,0.0,0,1
credit_card,0.206,331.0,5.217483944213907,699,20381,0.0,0,1
debt_consolidation,0.17,264.54,5.064457989226918,699,8070,0.0,0,1
debt_consolidation,0.206,449.34,4.812913356642856,664,11434,3.0,0,1
debt_consolidation,0.206,262.12,4.845098040014257,674,11199,0.0,0,1
debt_consolidation,0.143,137.3,4.857332496431268,694,5677,0.0,0,1
debt_consolidation,0.088,1268.46,5.3557655851675525,704,28284,0.0,0,1
debt_consolidation,0.065,588.12,5.230448921378274,749,0,0.0,0,1
credit_card,0.177,1005.67,5.232996110392154,704,38249,0.0,0,1
major_purchase,0.17,528.17,4.662757831681574,729,1392,0.0,0,1
credit_card,0.065,1225.24,5.342422680822207,709,83245,0.0,0,1
credit_card,0.152,221.75,4.57978359661681,684,4939,0.0,0,1
debt_consolidation,0.124,343.45,4.653212513775344,704,347,1.0,0,1
home_improvement,0.257,802.81,5.352182518111363,694,204130,1.0,0,1
credit_card,0.206,678.07,4.954242509439325,694,28997,0.0,0,1
credit_card,0.143,223.11,4.812913356642856,709,27759,0.0,0,1
debt_consolidation,0.161,487.64,4.799340549453582,729,5032,0.0,1,1
credit_card,0.161,682.7,4.929418925714293,719,30853,0.0,0,1
debt_consolidation,0.082,1005.58,5.041392685158225,734,18852,0.0,0,1
credit_card,0.103,206.7,4.7160033436347994,729,2951,1.0,0,1
debt_consolidation,0.082,234.23,4.531478917042255,819,46300,0.0,0,1
credit_card,0.07,432.41,4.845098040014257,759,3706,0.0,0,1
credit_card,0.065,612.62,5.089322130169242,729,17377,0.0,0,1
home_improvement,0.103,227.48,5.176091259055681,774,15829,0.0,0,1
credit_card,0.065,490.1,4.845098040014257,734,24098,0.0,0,1
debt_consolidation,0.11,654.97,4.778151250383644,729,16713,0.0,0,1
debt_consolidation,0.065,612.62,4.903089986991944,794,21709,0.0,0,1
credit_card,0.117,729.24,4.8512583487190755,729,32751,0.0,0,1
debt_consolidation,0.131,363.57,4.748188027006201,724,6874,1.0,1,1
debt_consolidation,0.177,360.23,4.653212513775344,679,8349,0.0,0,1
credit_card,0.088,475.68,5.0,689,10253,0.0,0,1
debt_consolidation,0.103,324.23,4.740362689494244,724,23765,1.0,0,1
debt_consolidation,0.131,820.59,5.021189299069938,694,38524,0.0,0,1
home_improvement,0.082,606.45,5.243038048686294,754,6155,0.0,0,1
debt_consolidation,0.231,619.78,4.785329835010767,664,4954,0.0,1,1
debt_consolidation,0.124,477.57,4.447158031342219,724,3791,0.0,0,1
debt_consolidation,0.177,540.34,5.1303337684950066,669,33880,0.0,0,1
debt_consolidation,0.082,213.86,4.903089986991944,684,8438,0.0,1,1
debt_consolidation,0.143,373.62,4.683947130751513,669,7260,3.0,0,1
credit_card,0.082,213.69,4.698970004336019,709,6816,0.0,0,1
debt_consolidation,0.07,555.96,4.544068044350276,809,14835,0.0,0,1
credit_card,0.131,1205.1,4.963787827345556,719,39633,0.0,0,1
debt_consolidation,0.231,343.79,5.008600171761918,719,8171,0.0,0,1
debt_consolidation,0.11,217.53,4.897627091290442,719,15884,0.0,0,1
home_improvement,0.065,1072.08,5.278753600952829,824,5538,0.0,0,1
credit_card,0.082,611.03,5.511883360978874,749,27157,0.0,0,1
debt_consolidation,0.07,262.54,4.778151250383644,719,11646,0.0,0,1
debt_consolidation,0.088,951.35,4.7923916894982534,709,11889,0.0,1,1
credit_card,0.124,887.76,5.096910013008056,714,216,1.0,0,1
debt_consolidation,0.186,661.96,4.832508912706237,669,37082,0.0,0,1
debt_consolidation,0.065,643.25,5.0,789,22271,0.0,0,1
debt_consolidation,0.117,229.83,4.732393759822968,759,7045,0.0,0,1
debt_consolidation,0.11,740.13,4.57978359661681,804,562,0.0,0,1
debt_consolidation,0.07,311.96,4.873593766767822,774,12414,0.0,0,1
home_improvement,0.11,870.1,4.8750612633917,779,11987,0.0,0,1
debt_consolidation,0.131,273.53,4.982271233039568,724,1589,0.0,0,1
debt_consolidation,0.082,188.55,4.740362689494244,799,2811,0.0,0,1
debt_consolidation,0.065,367.57,4.812913356642856,774,5884,0.0,0,1
debt_consolidation,0.124,628.52,5.113943352306837,709,7160,0.0,1,1
debt_consolidation,0.257,938.45,4.344354148423711,719,9677,0.0,0,1
other,0.17,142.52,5.017033339298781,714,11711,0.0,0,1
debt_consolidation,0.152,678.27,4.505149978319906,699,11949,0.0,0,1
credit_card,0.161,140.87,4.447158031342219,669,8301,0.0,0,1
